Catalogue,Artist,Title,UKDP,Street_Date,label,UPCEAN,AlbumCLineYear,AlbumCLineInfo,AlbumPLineYear,AlbumPLineInfo,MediaType,genre,Ppoint,Notes,Artist_Sort,Active,Deleted,format,OriginalCountry,Territory,ExpiryDate,ID
VILELP1426,SCORPION MILK,FLESH MASKS FOR SKULLS (LP),0,24/12/2027,Peaceville,801056842619,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,LP,Metal,Full Price,<p>PL</p>,,1,0,EP,PL,World,,6857
CDVILED1429,MORTA SKULD,DYING REMAINS (CD),6.65,21/08/2026,Peaceville,801056742926,2013,Peaceville Records Ltd,1993,Peaceville Records Ltd,CD,Metal,Mid Price,<p>AT</p>,MORTA SKULD,1,0,Album,AT,World,,6856
KSCOPE1333,ANATHEMA,WEATHER SYSTEMS (2LP),15.5,25/12/2027,Kscope,802644833323,2012,Anathema,2012,Anathema under exclusive licence to Snapper Music Ltd,2LP,Rock,Full Price,<p>PL</p>,ANATHEMA,1,0,Album,PL,World,,6855
KSCOPE2556,LUNATIC SOUL,TRANSITION II,0,26/06/2026,Kscope,802644455662,2026,Snapper Music Ltd,2026,"Kscope, a division of Snapper Music Ltd",Digital,Rock,Digital,,,1,0,EP,,World,,6853
SMALP1373,PETER MURPHY,ALIVE JUST FOR LOVE (2LP),17.5,26/12/2027,Madfish,636551837316,2026,,2026,,2LP,Indie Rock,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6852
SMALP1372,PETER MURPHY,BARE-BONES AND SCARED (2LP),17.5,26/12/2027,Madfish,636551837217,2026,,2026,,2LP,Indie Rock,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6851
SMALP1371,PETER MURPHY,LION (LP),11.5,26/12/2027,Madfish,636551837118,2026,,2026,,LP,Indie Rock,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6850
SMALP1370,PETER MURPHY,NINTH (LP),11.5,26/12/2027,Madfish,636551837019,2026,,2026,,LP,Indie Rock,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6849
SMALP1369,PETER MURPHY,UNSHATTERED (LP),11.5,26/12/2027,Madfish,636551836913,2026,,2026,,LP,Indie Rock,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6847
SMALP1368,PETER MURPHY,DUST (2LP),175,26/12/2027,Madfish,636551836814,2026,,2026,,2LP,Indie Rock,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6846
KSCOPE2555,MAIAH WYNNE,BREATHE,0,28/05/2026,Kscope,802644455563,2026,Maiah Wynne,2026,Maiah Wynne under exclusive licence to Kscope,Digital,Pop,Digital,<p>Single #1</p>,,1,0,Single,,World,,6844
KSCOPE3080,RICHARD BARBIERI,STRANGER INSIDE (CD),6.65,25/12/2027,Kscope,802644708027,2008,Richard Barbieri,2008,Richard Barbieri under exclusive licence to Snapper Music Ltd,CD,Rock,Mid Price,,"BARBIERI, RICHARD",1,0,Album,,World,,6843
KSCOPE3079,RICHARD BARBIERI,THINGS BURIED (CD),6.65,25/12/2027,Kscope,802644707921,2007,Richard Barbieri,2005,Richard Barbieri under exclusive licence to Snapper Music Ltd,CD,Rock,Mid Price,<p>AT</p>,"BARBIERI, RICHARD",1,0,Album,AT,World,,6842
KSCOPE3078,RICHARD BARBIERI,PLANETS + PERSONA (CD),6.65,25/12/2027,Kscope,802644707822,2017,Richard Barbieri,2017,Richard Barbieri under exclusive licence to Snapper Music Ltd,CD,Rock,Mid Price,<p>AT</p>,"BARBIERI, RICHARD",1,0,Album,AT,World,,6841
KSCOPE1332,RICHARD BARBIERI,PLANETS + PERSONA (2LP),17.5,25/12/2027,Kscope,802644833231,2017,Richard Barbieri,2017,Richard Barbieri under exclusive licence to Snapper Music Ltd,2LP,Rock,Full Price,<p>PL</p>,"BARBIERI, RICHARD",1,0,Album,PL,World,,6840
SMACD1362,GENTLE GIANT,IN A GLASS HOUSE (CD/BD),9.53,26/12/2027,Madfish,636551836272,2026,Snapper Music Ltd,2026,Alucard Publishing Limited under exclusive licence to Snapper Music Ltd,CD+Blu-ray,Rock,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6838
SMABX1367,IAN ANDERSON,8314 BOXED (7CD EARBOOK),0,26/12/2027,Madfish,636551836753,2024,,2024,,MixBoxSet,Rock,Full Price,"<p>PL</p>
<p><strong>1</strong>&nbsp;Walk Into Light (1983)&nbsp;<strong>2</strong>&nbsp;Divinities: Twelve Dances with God (1995)&nbsp;<strong>3</strong>&nbsp;The Secret Language of Birds (2000)&nbsp;<strong>4</strong>&nbsp;Rupi's Dance (2003)&nbsp;<strong>5</strong>&nbsp;Thick As a Brick 2 (2012)&nbsp;<strong>6</strong>&nbsp;Homo Erraticus (2014)&nbsp;<strong>7</strong>&nbsp;Roaming in the Gloaming (2024)&nbsp;&nbsp;</p>",,1,0,Album,PL,World,,6836
EBVILE037,KATATONIA,MELANCHOLIUM (LP BOX),0,24/12/2027,Peaceville,801056803757,,Peaceville Records Ltd,,Peaceville Records Ltd,MixBoxSet,Metal,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6834
VILELP1367,AURA NOIR,HADES RISE (COLOUR LP),12.5,24/12/2027,Peaceville,801056836717,2012,Peaceville Records Ltd,2008,Peaceville Records Ltd,LP,Metal,Full Price,,AURA NOIR,1,0,Album,,World,,6832
SMACD1357,RICK WAKEMAN,RETURN TO THE RED PLANET (POP UP CD/BD),0,26/12/2027,Madfish,636551835725,2026,,2026,,CD,Rock,Full Price,<p>CZ</p>,,1,0,Album,,World,,6831
SMALP1365,RICK WAKEMAN,RETURN TO THE RED PLANET (POP UP 2LP),0,26/12/2027,Madfish,636551836517,2026,,2026,,2LP,Rock,Full Price,<p>CZ</p>,,1,0,Album,,World,,6830
VILELP1403,MY DYING BRIDE,LIKE GODS OF THE SUN (30TH ANNIVERSARY LP),14.5,24/12/2027,Peaceville,801056840356,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,LP,Metal,Full Price,"<p>PL</p>
<p>Half-Speed Master</p>",,1,0,Album,PL,World,,6829
CDVILED1428,DARKTHRONE,ETERNAL HAILS...... (CD),6.65,24/12/2027,Peaceville,801056742834,2021,Peaceville Records Ltd,2021,Peaceville Records Ltd,CD,Metal,Mid Price,<p>2026 Remaster</p>,,1,0,Album,DE,World,,6828
VILELP1418,SIGH,GOH-KA (COLOUR 3 LP),12.5,24/12/2027,Peaceville,801056841810,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,2LP,Metal,Full Price,,,1,0,Album,PL,World,,6827
VILELP1417,SIGH,GOH-KA (COLOUR 2 LP),12.5,24/12/2027,Peaceville,801056841711,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,2LP,Metal,Full Price,,,1,0,Album,PL,World,,6825
VILELP1416,SIGH,GOH-KA (COLOUR 1 LP),12.5,24/12/2027,Peaceville,801056841636,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,2LP,Metal,Full Price,,,1,0,Album,PL,World,,6824
CDVILEF1426,SCORPION MILK,FLESH MASKS FOR SKULLS (CD),0,24/12/2027,Peaceville,801056842626,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,CD,Metal,Full Price,<p>AT</p>,,1,0,EP,AT,World,,6822
CDVILED1427,FIMBULWINTER,SERVANTS OF SORCERY (CD),6.65,07/08/2026,Peaceville,801056742728,1994,Fimbulwinter under exclusive licence to Peaceville Records Ltd,1994,Fimbulwinter under exclusive licence to Peaceville Records Ltd,CD,Metal,Mid Price,<p>AT</p>,,1,0,Album,AT,World,,6821
VILELP1415,SIGH,GOH-KA (LP),11.5,24/12/2027,Peaceville,801056841513,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,2LP,Metal,Full Price,<p>PL</p>,,1,0,Album,PL,World,,6819
KSCOPE2554,PRINCE OF FAILURE,JADED MANTRA,0,14/05/2026,Kscope,802644455464,2026,"Kscope, a division of Snapper Music Ltd",2026,"Kscope, a division of Snapper Music Ltd",Digital,Rock,Digital,"<p>SINGLE 2</p>
<p>ALL OTHER DSP</p>",,1,0,Single,,World,,6818
KSCOPE2553,PRINCE OF FAILURE,JADED MANTRA,0,14/05/2026,Kscope,802644455365,2026,"Kscope, a division of Snapper Music Ltd",2026,"Kscope, a division of Snapper Music Ltd",Digital,Rock,Digital,"<p>SINGLE 2</p>
<p>SPOTIFY ONLY&nbsp;</p>",,1,0,Single,,World,,6817
DIGIVILE1425V,MORK,TORDEN,0,15/05/2026,Peaceville,801056442581,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,You Tube,Metal,Digital,,,1,0,Video,,World,,6816
DIGIVILE1425,MORK,TORDEN,0,15/05/2026,Peaceville,801056442574,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,Digital,Metal,Digital,"<p>single 2&nbsp;</p>
<p>all other dsp</p>",,1,0,Single,,World,,6815
DIGIVILE1424,MORK,TORDEN,0,15/05/2026,Peaceville,801056442468,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,Digital,Metal,Digital,"<p>single 2&nbsp;</p>
<p>spotify</p>
<p>&nbsp;</p>",,1,0,Single,,World,,6814
KSCOPE3073,LUNATIC SOUL,THROUGH SHADED WOODS (CD),6.65,25/12/2027,Kscope,802644707327,2020,Snapper Music Ltd,2020,"Kscope, a division of Snapper Music Ltd",CD,Rock,Mid Price,<p>AT</p>,LUNATIC SOUL,1,0,Album,,World,,6813
KSCOPE1328,LUNATIC SOUL,THROUGH SHADED WOODS (PEARL FLIP HORIZON LP),12.5,25/12/2027,Kscope,802644832814,2020,Snapper Music Ltd,2020,"Kscope, a division of Snapper Music Ltd",LP,Rock,Full Price,<p>DE</p>,LUNATIC SOUL,1,0,Album,DE,World,,6812
DIGIVILE1328,PARADISE LOST,GOTHIC (35TH ANNIVERSARY),0,15/05/2026,Peaceville,801056432865,2013,Peaceville Records Ltd,1991,Peaceville Records Ltd,Digital,Metal,Digital,,PARADISE LOST,1,0,Album,,World,,6811
KSCOPE3077,MAIAH WYNNE,INTO THE WAVES (CD),8.84,25/12/2027,Kscope,802644807720,2026,Maiah Wynne,2026,Maiah Wynne under exclusive licence to Kscope,CD,Pop,Full Price,<p>AT</p>,,1,0,Album,AT,World,,6810
SMABX1299,JETHRO TULL,AT THE BBC (BOXSET),0,26/12/2027,Madfish,636551829953,,,,,MixBoxSet,Rock,Full Price,,,1,0,Album,,World,,6809
CDVILEF1415,SIGH,GOH-KA (CD),8.84,24/12/2027,Peaceville,801056841520,2026,Peaceville Records Ltd,2026,Peaceville Records Ltd,CD,Metal,Full Price,<p>AT</p>,,1,0,Album,AT,World,,6808
SMACD1364,CARL PERKINS & FRIENDS,BLUE SUEDE SHOES - A ROCKABILLY SESSION,0,26/12/2027,Madfish,636551836470,1986,Graham Nolder/Carl Perkins,2026,Graham Nolder Productions under exclusive licence to Snapper Music Ltd,CD+Blu-ray,Rock`n`Roll,Full Price,,"PERKINS, CARL",1,0,Album,GB,World,,6806
VILELP1423,MYSTICUM,IN THE STREAMS OF INFERNO (30TH ANNIVERSARY LP),12.95,02/10/2026,Peaceville,801056842312,2012,Peaceville Records Ltd,1996,"Mysticum, under exclusive licence to Peaceville Records Ltd",LP,Metal,Full Price,<p>DE</p>,MYSTICUM,1,0,Album,DE,World,,6805
VILELP1338,THORNS,THORNS (35TH ANNIVERSARY LP),12.95,24/12/2027,Peaceville,801056833815,2022,Peaceville Records Ltd,2001,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,THORNS,1,0,Album,DE,World,,6804
CDVILED1388,ANATHEMA,ETERNITY (30TH ANNIVERSARY CD),6.65,24/12/2027,Peaceville,801056738837,2003,Peaceville Records Ltd,1996,Peaceville Records Ltd,CD,Metal,Mid Price,"<p>AT</p>
<p><span>2026 Remaster&nbsp;</span></p>",ANATHEMA,1,0,Album,AT,World,,6803
CDVILED1400,ANATHEMA,ALTERNATIVE 4 (CD),6.65,24/12/2027,Peaceville,801056740038,2003,Peaceville Records Ltd,1998,Peaceville Records Ltd,CD,Metal,Mid Price,"<p>AT</p>
<p><span>2026 Remaster&nbsp;</span></p>",ANATHEMA,1,0,Album,AT,World,,6802
CDVILED1404,ANATHEMA,THE SILENT ENIGMA (CD),6.65,24/12/2027,Peaceville,801056740427,2003,Peaceville Records Ltd,1995,Peaceville Records Ltd,CD,Metal,Mid Price,"<p>AT</p>
<p><span>2026 Remaster&nbsp;</span></p>",ANATHEMA,1,0,Album,AT,World,,6801
VILELP1359,CANDLEMASS,DACTYLIS GLOMERATA (PEARL ARCTIC LP),12.5,28/08/2026,Peaceville,801056835956,2014,Peaceville Records Ltd,1998,Peaceville Records Ltd,LP,Metal,Full Price,"<p>DE</p>
<p>2026 Remaster</p>",CANDLEMASS,1,0,Album,DE,World,,6800
VILELP1400,ANATHEMA,ALTERNATIVE 4 (LP),11.5,24/12/2027,Peaceville,801056840011,2012,Peaceville Records Ltd,1998,Peaceville Records Ltd,LP,Metal,Full Price,"<p>PL</p>
<p>2026 Remaster&nbsp;</p>",ANATHEMA,1,0,Album,PL,World,,6799
