Catalogue,Artist,Title,format,"No of Items","Slip case",Sticker,Package,Booklet,"Vinyl Weight","Vinyl RPMs","Vinyl Colour",mp3,Notes,Manufacturer,"Sticker Manufacturer",ID
CDVILE118,"THE GREAT DECEIVER","A VENOM WELL DESIGNED",CD,0,0,0,,,,,,0,,,,1
CDVILEB129,KATATONIA,"THE BLACK SESSIONS",2CD+DVD,0,0,0,,,,,,0,,,,2
CDVILEB130,"MY DYING BRIDE","ANTI-DILUVIAN CHRONICLES",3CD,0,0,0,,,,,,0,,,,3
CDVILEB243,DARKTHRONE,"FROSTLAND TAPES",3CD,0,0,0,,,,,,0,,,,4
CDVILEB304,OPETH,"THE ROUNDHOUSE TAPES",2CD+DVD,0,0,1,,,,,,0,,CSV,"NULEAF (stickers)",5
CDVILED128,KATATONIA,"THE GREAT COLD DISTANCE",CD,1,0,1,"Super jewel",16pp,,,,0,,SP,"ANGLIA (stickers)",6
CDVILED150,"MY DYING BRIDE","A LINE OF DEATHLESS KINGS",CD,0,0,0,,,,,,0,,,,7
CDVILED226,OPHTHALAMIA,"VIA DOLOROSA",CD,1,0,1,"Super jewel",,,,,0,,SP,,8
CDVILED244X,"PARADISE LOST",GOTHIC,CD+DVD,1,0,1,"Super jewel",8pp,,,,0,"very expensive stickers 2000 at 20p",OPTIMAL,OPTIMAL,9
CDVILED251,"MADDER MORTEM",DEADLANDS,CD,1,0,1,"Super jewel",24pp,,,,0,,SP,"ANGLIA (stickers)",10
CDVILED257,OPETH,"STILL LIFE (JEWEL CASE)",CD,1,0,1,Jewel,12pp,,,,0,,OPTIMAL,,11
CDVILED259X,"AT THE GATES","WITH FEAR I KISS THE BURNING DARKNESS / GRONINGEN 1993",CD+DVD,2,0,1,"Super jewel",16pp,,,,0,,OPTIMAL,"ANGLIA (stickers)",12
CDVILED260X,"MY DYING BRIDE","THE ANGEL AND THE DARK RIVER / FOR DARKEST EYES",CD+DVD,2,0,1,"Super jewel",12pp,,,,0,,OPTIMAL,"ANGLIA (stickers)",13
CDVILED262,KATATONIA,"LIVE CONSTERNATION",CD+DVD,0,0,0,,,,,,0,,,,14
CDVILED264X,KATATONIA,"THE GREAT COLD DISTANCE",CD+DVD,2,0,1,"Super jewel",16pp,,,,0,,SP,SP,15
CDVILED265,OPETH,"THE ROUNDHOUSE TAPES",2CD,0,0,0,,,,,,0,,,,16
CDVILED285,DARKTHRONE,"DARK THRONES & BLACK FLAGS",CD,0,0,0,,,,,,0,,,,17
CDVILED288,NOVEMBRE,"THE BLUE",CD,1,0,0,Jewel,16pp,,,,0,,SP,,18
CDVILED289,"MY DYING BRIDE","A LINE OF DEATHLESS KINGS",CD,1,0,0,Jewel,16pp,,,,0,,OPTIMAL,,19
CDVILED293X,"NAPALM DEATH","PUNISHMENT IN CAPITALS",CD+DVD,0,0,0,,,,,,0,,VDC,,20
CDVILED297X,AUTOPSY,"DARK CRUSADES",CD+DVD,0,0,0,,,,,,0,,VDC,,21
CDVILED319X,BEHEMOTH,DEMIGOD,CD+DVD,1,0,0,,,,,,0,,TAKT,,22
CDVILED330X,CANDLEMASS,"EPICUS DOOMICUS METALLICUS - 25TH ANNIVERSARY",2CD,2,0,1,"Media book",,,,,0,,TAKT,,23
CDVILED341X,DARKTHRONE,"FROSTLAND TAPES",2CD,2,0,1,Jewel,16pp,,,,0,,SP,SP,24
CDVILED349,"BARREN EARTH","THE CURSE OF THE RED RIVER",CD,0,0,0,,,,,,0,,,,25
CDVILED95,AKERCOCKE,"THE GOAT OF MENDES",CD,1,0,0,Digipack6,16pp,,,,0,,SP,,26
CDVILEF168X,DARKTHRONE,"F.O.A.D. (SPECIAL EDITION)",CD,1,0,1,Clambox,,,,,0,"Poster + Postcards",,,27
CDVILEF173,"AURA NOIR","HADES RISE",CD,0,0,0,,,,,,0,,VDC,,28
CDVILEF235,"PORCUPINE TREE","NIL RECURRING",CD,0,0,0,,,,,,0,,SP,,29
CDVILEF242,BLOODBATH,"THE FATHOMLESS MASTERY",CD,1,0,1,"Super jewel",16pp,,,,0,"5 colour label",SP,,30
CDVILEF245X,"MY DYING BRIDE","FOR LIES I SIRE (SPECIAL `GUITAR PACK` EDITION)",CD,0,0,0,,,,,,0,,OPTIMAL,,31
CDVILEF256,ANATHEMA,"THE SILENT ENIGMA",CD+DVD,2,0,1,"Super jewel",12pp,,,,0,,OPTIMAL,,32
CDVILEF271X,KATATONIA,"NIGHT IS THE NEW DAY (SPECIAL EDITION)",CD,1,0,1,"Media book",20pp,,,,0,,"CHINA TRADING","CHINA TRADING",33
CDVILEF276X,DARKTHRONE,"CIRCLE THE WAGONS ( SPECIAL EDITION )",CD,0,0,1,,,,,,0,,CSV,"ANGLIA (stickers)",34
CDVILEF317,AUTOPSY,"MACABRE ETERNAL ( LIMITED EDITION MEDIA BOOK )",CD,1,0,1,"Media book",,,,,0,,TAKT,,35
CDVILEF324,"MY DYING BRIDE",EVINTA,2CD,2,1,1,Jewel,16pp,,,,0,,TAKT,,36
DVDVILE10,CANDLEMASS,"20 YEAR ANNIVERSARY PARTY",DVD,0,0,0,,,,,,0,,,,37
DVDVILE11,OPETH,"THE ROUNDHOUSE TAPES",DVD,1,0,1,,8pp,,,,0,"hideously expensive stickers",OPTIMAL,OPTIMAL,38
DVDVILE12,GALLHAMMER,"RUIN OF A CHURCH",DVD,0,0,0,,,,,,0,,,,39
DVDVILE13,BLOODBATH,"BLOODBATH OVER BLOODSTOCK",DVD,0,0,1,,16pp,,,,0,,TAKT,,40
DVDVILE6,"MY DYING BRIDE",SINAMORATA,DVD,0,0,0,,,,,,0,,VDC,,41
DVDVILE7,"NOCTURNO CULTO","THE MISANTHROPE",CD+DVD,0,0,0,,,,,,0,,,,42
DVDVILE8,"CRADLE OF FILTH","HEAVY LEFT HANDED AND CANDID",DVD,0,0,0,,,,,,0,,,,43
EBVILE001,"MY DYING BRIDE","EVINTA (3 DISC SET)",3CD,3,0,0,,,,,,0,,OPTIMAL,,44
EBVILE002,"CRADLE OF FILTH","CRADLE EARBOOK 3XCD",2CD+DVD,0,0,0,,,,,,0,,,,45
EBVILE002-L,"CRADLE OF FILTH","CRADLE BOXSET LARGE",2CD+DVD,0,0,0,,,,,,0,,,,46
EBVILE002-M,"CRADLE OF FILTH","CRADLE BOXSET MEDIUM",2CD+DVD,0,0,0,,,,,,0,,,,47
EBVILE002-S,"CRADLE OF FILTH","CRADLE BOXSET SMALL",2CD+DVD,0,0,0,,,,,,0,,,,48
EBVILE002-XL,"CRADLE OF FILTH","CRADLE BOXSET XL",2CD+DVD,0,0,0,,,,,,0,,,,49
KSCOPE102,"PORCUPINE TREE","LIGHTBULB SUN",CD+DVD,2,0,1,"Media book",20pp,,,,0,,"CHINA TRADING","CHINA TRADING",50
KSCOPE111X,NO-MAN,FLOWERMOUTH,CD,1,0,0,"Super jewel",,,,,0,,SP,,51
KSCOPE113,"STEVEN WILSON","INSURGENTES ( LIMITED EDITION )",CD+DVD,0,0,0,,,,,,0,,OPTIMAL,,52
KSCOPE128,"PORCUPINE TREE","STUPID DREAM ( 2 DISC SET )",CD+DVD,2,0,1,"Media book",16pp,,,,0,,"CHINA TRADING","CHINA TRADING",53
KSCOPE129M,NO-MAN,SPEAK,CD,1,0,1,"Super jewel",8pp,,,,0,,SP,,54
KSCOPE134,"PORCUPINE TREE",RECORDINGS,CD,1,0,1,"Media book",,,,,0,,TAKT,,55
KSCOPE149,NO-MAN,"WILD OPERA",2CD,2,0,0,"Media book",,,,,0,,TAKT,,56
KSCOPE153,"THE PINEAPPLE THIEF","SOMEONE HERE IS MISSING (SPECIAL)",CD,1,0,0,"Media book",,,,,0,,TAKT,,57
KSCOPE154,ANATHEMA,"WE`RE HERE BECAUSE WE`RE HERE",CD+DVD,0,0,0,,,,,,0,,TAKT,,58
KSCOPE167,BLACKFIELD,"WELCOME TO MY DNA (SPECIAL)",CD,1,0,1,"Media book",,,,,0,,TAKT,,59
KSCOPE169,ULVER,"WARS OF THE ROSES ( LTD EDITION MEDIA BOOK )",CD,1,0,1,"Media book",,,,,0,,TAKT,,60
KSCOPE176,"STEVEN WILSON","GRACE FOR DROWNING ( 2 CD MEDIA BOOK )",2CD,0,0,0,,,,,,0,,TAKT,,61
KSCOPE501X,"PORCUPINE TREE","ARRIVING SOMEWHERE ( 2 DVD SET )",2DVD,1,0,1,"Super jewel",4pp,,,,0,,OPTIMAL,,62
KSCOPE505,NO-MAN,"MIXTAPED ( 2 DVD SET )",2DVD,1,0,1,"Super jewel",4pp,,,,0,,OPTIMAL,"ANGLIA (stickers)",63
KSCOPE506,"PORCUPINE TREE","ANESTHETIZE ( BLU-RAY & DVD SET )","Blu-ray + DVD",0,0,0,,,,,,0,,TAKT,,64
KSCOPE507,"PORCUPINE TREE",ANESTHETIZE,DVD,0,0,0,,,,,,0,,VDC,,65
